osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,5604554616,,,,,4560,41.8540276,77.0782756,,,
node,5604556431,Inek,Inek,,,4560,41.018803,75.899715,,,
node,5604556438,Apa,,,,4560,40.90797,75.628852,,,
node,5760392711,Алтай,,,,4560,39.6395832,71.5464328,,,
node,5767976052,,,,,4560,39.5785084,71.3994224,,,
node,6854463945,Kaliningrad,Kaliningrad,Калиниград,,4560,41.1550594,77.7887907,,,
node,3660079882,Alma-Ata,Alma-Ata,Алма-Ата,Алма-Ата,4558,42.9282033,77.2629163,,,
node,5767976356,,,,,4558,39.5449911,71.4166662,,,
node,2626958826,,,,,4557,39.156548,73.609857,,,
node,1867556510,,,,,4556,42.1625478,78.5904052,,,
node,11818683666,Zhoyutau,Zhoyutau,Жоютау,Жоютау,4556,42.9074251,77.2162955,,,
node,7920270576,Kokbulak,Kokbulak,Кокбулак,,4555,43.1180057,77.4053771,,,
node,1740226648,Severtsov,Severtsov,Северцова,,4553,43.0509182,77.2306329,,,
node,5604555742,Чонташ Восточный,,,,4553,40.9165667,74.4301667,,,
node,5767976412,,,,,4553,39.5105784,71.3675877,,,
node,10076718732,,,,,4553,40.1249144,73.7882566,,,
node,5767976407,,,,,4550.1,39.497894,71.3963557,,,
node,2117817765,,,,,4550,41.9229996,79.8028173,,,
node,5604556433,Dom Beliy,Dom Beliy,,,4550,41.0175528,75.9096278,,,
node,5767976974,,,,,4550,39.4922211,71.2096162,,,
node,7653467459,Chekist,Chekist,Чекист,,4550,43.105728,77.2972654,,,
node,10218666408,,,,,4550,42.165646,79.6748686,,,
node,2598261600,,,,,4547,39.0497594,74.9443585,,,
node,5604556442,,,,,4546,41.0530222,76.1665167,,,
node,5604554295,Кама,,,,4545,41.9316,77.74865,,,
node,5767976039,Пермская,,,,4545,39.5351611,71.3490062,,,
node,1740226624,Ontustyk Bogatyr,Ontustyk Bogatyr,Богатырь Южный,,4544,43.043963,77.2317657,,,
node,5767976987,,,,,4543,39.5703511,71.2692762,,,
node,2117832033,Vulture,Vulture,,,4542,40.4974469,74.9124562,,,
node,2589812510,,,,,4542,41.8880909,79.8166145,,,
node,10076718728,Kichi Kashkasu,Kichi Kashkasu,,,4542,40.1366939,73.7939214,,,
node,9957577905,,,,,4541,42.0956749,77.8981841,,,
node,2593135393,,,,,4540,39.1735253,74.0589823,,,
node,3344802063,,,,,4537,42.5418861,74.7894345,,,
node,2626958837,,,,,4535,39.1643138,73.9169773,,,
node,5604555315,,,,,4535,41.767826,77.651724,,,
node,5767976358,,,,,4535,39.5233687,71.4054868,,,
node,1867556549,,,,,4533,42.2419945,78.6683311,,,
node,2589838802,,,,,4531,41.9356207,79.7690347,,,
node,5767976453,,,,,4531,39.5073711,71.2894862,,,
node,2068262482,Uchitel,Uchitel,Учитель,,4530,42.5380201,74.5530646,,,
node,2117850927,别勒阿依热克佐苏套,,,,4530,39.8772503,73.9123341,,,
node,2589812567,,,,,4530,41.9720502,79.9322666,,,
node,2593135376,,,,,4530,39.1455131,74.0076848,,,
node,5604556443,,,,,4530,40.933154,75.695294,,,
node,5767976048,,,,,4530,39.5886058,71.459621,,,
node,5767976956,,,,,4530,39.4312542,71.0534978,,,
node,6687148272,,,,,4530,41.9285713,77.0145035,,,
node,9592100184,Главный Курган,,,,4528,40.0198367,72.7387625,,,
node,10251066012,,,,,4528,41.8062215,77.9126787,,,
node,5767976527,,,,,4527,39.4213111,71.1040262,,,
node,9592100171,Агидель,,,,4527,39.9779752,72.7236557,,,
node,11987843843,,,,,4525,40.027455,73.9056892,,,
node,2956442833,Чарат Центральный,,,,4523,39.9771094,72.6415288,,,
node,5604556444,,,,,4523,41.052277,76.14912,,,
node,1740226337,Konstituciya,Konstituciya,Конституции,,4522,42.9825713,77.1661347,,,
node,1867556455,,,,,4522,42.018164,78.3992846,,,
node,2626958797,,,,,4521,39.1377456,73.9896941,,,
node,5742772086,Котин,,,,4521,39.6234744,70.2756786,,,
node,1867556541,,,,,4520,42.2319427,78.6077669,,,
node,3345999025,Амантоо,,Амантоо,,4520,42.4616279,74.6407991,,,
node,5767976036,,,,,4520,39.5961248,71.4945777,,,
node,10114175656,Kotlyakov,Kotlyakov,Котлякова,,4520,42.999695,77.2891383,,,
node,10244303852,Солодовникова,,,,4520,42.3426542,80.120244,,,
node,13597417972,Lysenko,Lysenko,Лысенко,,4520,42.9424034,77.2563557,,,
node,2626958848,,,,,4519,39.1718992,73.5841908,,,
node,3005512675,Байчечекей,,,,4515,42.52982,74.55663,,,
node,1740257142,Bivachnaya,Bivachnaya,Бивачная,,4514,43.0817068,77.3098749,,,
node,5767976993,,,,,4512,39.5527611,71.2482662,,,
node,10246532002,Kurmangazy,Kurmangazy,Курмангазы,Курмангазы,4512,42.9121168,77.2358086,,,
node,7315161564,,,,,4511,39.7069205,71.8616688,,,
node,5604556425,Sumashedshaya,,,,4510,40.8902,75.667723,,,
node,5604556458,,,,,4510,40.6447222,74.5011111,,,
node,1740257147,Surovyy,Surovyy,Суровый,,4509,43.0832337,77.3185064,,,
node,1867556546,,,,,4509,42.2382088,78.826003,,,
node,1867556553,,,,,4509,42.2693918,78.7951453,,,
node,2596899169,,,,,4509,39.2404319,74.7306122,,,
node,5604555316,,,,,4509,41.77415,77.732112,,,
node,9957578181,,,,,4509,42.0804834,77.8838718,,,
