osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia,prominence_calc
node,3336726184,пик Лесгафта,,пик Лесгафта,,4603,42.4260025,74.74552,,,,398
node,5604553157,Эффект бабочки,,,,4602,41.0445095,77.2909748,,,,111
node,1867556539,,,,,4601,42.2288828,78.7581324,,,,164
node,3336576802,Салык-Баши,,,,4600,42.4894333,74.7436274,,,,319
node,5604556424,Jel'-Tegirmen,Jel'-Tegirmen,,,4600,41.0252056,75.8973472,,,,249
node,5604556435,Beersh Berkut,,,,4600,41.006534,75.898365,,,,220
node,5604556440,Ak-Yurta,Ak-Yurta,,,4600,40.902803,75.621623,,,,181
node,9626351188,Киргизии Северная вершина,,,,4600,42.7728896,76.6446451,,,,80
node,12400477168,,,,,4600,41.9108367,79.2141294,,,,96
node,10246532003,Zhandosov,Zhandosov,Жандосова,Жандосов,4599,42.9044587,77.2404313,,,,228
node,5604556437,Ara,Ara,,,4595,40.9014139,75.6406194,,,,147
node,9385093833,Дюре (Кобырга),,,,4593,42.7707393,76.6283782,,,,245
node,1867556445,Кызыл-Суу,,,,4590,42.0643961,78.1742477,,,,330
node,2589838799,,,,,4590,41.9301405,79.7823548,,,,58
node,5604552009,Snow King,,,,4590,40.483311,75.0965202,,,,286
node,2593036042,,,,,4588,39.2601461,74.6034142,,,,118
node,11818683664,Jarokov,Jarokov,Жарокова,Жароков,4588,42.8984308,77.2466755,,,,106
node,2593135380,,,,,4585,39.1559562,74.0603351,,,,71
node,5604554300,,,,,4585,42.0314444,78.0959944,,,,598
node,5735891975,,,,,4582,41.9628728,77.3325062,,,,626
node,2147902802,Zhyldyz,Zhyldyz,Жылдыз,Жылдыз,4580,42.9134772,77.2706722,,,,78
node,5604554293,Перо,,,,4580,41.943412,77.75292,,,,779
node,10247146767,,,,,4580,42.1900548,79.336524,,,,135
node,1867556557,,,,,4579,42.2681881,78.8987514,,,,188
node,2593036287,,,,,4575,39.3246593,74.764094,,,,160
node,2598261576,,,,,4575,39.0304556,74.9267339,,,,305
node,3345999077,,,,,4574,42.4834121,74.5676797,,,,149
node,11818683665,100 years of Communism,100 years of Communism,100 лет Коммунизма,Коммунизмге 100 жыл,4574,42.9041446,77.2031327,,,,146
node,2959677443,Pic Alpini,,,,4573,41.0989622,77.451973,,,,145
node,2593036297,,,,,4570,39.3282109,74.1033015,,,,8
node,2593146340,,,,,4570,39.2917804,74.7873265,,,,64
node,3348588610,Изыскатель,,,,4570,42.5056503,74.5603686,,,,85
node,5604556428,Robert,Robert,,,4570,40.903732,75.634236,,,,142
node,5604556434,Darshana,Darshana,,,4570,41.0090361,75.8967889,,,,25
node,11137546877,Kantbastau,Kantbastau,Кантбастау,Кантбастау,4570,42.8930043,77.1743803,,,,380
node,12385459887,Сорокина,,Сорокина,,4568,42.2116236,79.931833,,,,15
node,2593036131,,,,,4567,39.2855922,74.0127742,,,,89
node,2589812536,,,,,4565,41.9242428,79.8802677,,,,34
node,2596899026,,,,,4565,39.1256519,74.9796199,,,,204
node,5604556427,Shagyl,Shagyl,,,4565,40.901575,75.611194,,,,114
