osm_type,osm_id,name,name_en,name_ru,name_ky,elevation_m,lat,lon,prominence,wikidata,wikipedia
node,2681737162,,,,,1726.1,40.7659153,69.8135644,,,
node,2330335914,,,,,1725.3,41.3723861,69.9292561,,,
node,2524067637,,,,,1725,41.024552,70.3017053,,,
node,2604115047,,,,,1723.2,41.3555775,70.1384909,,,
node,2531730650,Карачаку,,Карачаку,,1721.0,40.8710821,70.4804028,,,
node,10732057584,,,,,1720,42.0406002,69.6254361,,,
node,1409447742,Sarytepa,Sarytepa,Сарытепа,,1717.4,41.6355756,69.6600252,,,
node,4877156851,,,,,1715,41.02469,70.7026863,,,
node,4836097388,,,,,1711.7,40.9681424,70.5994669,,,
node,2487904100,,,,,1700.5,41.0958865,69.8646062,,,
node,2542871101,,,,,1696.6,40.9589022,70.2084492,,,
node,5472100604,Гиза,,Гиза,,1693.9,40.9194797,70.5273771,,,
node,2687961621,Караджигит,,Караджигит,,1690.0,40.5819336,69.5882696,,,
node,3706017531,,,,,1687.3,41.5208288,70.0101726,,,
node,2514698011,Maylijan,Maylijan,Майлиджан,,1681.8,41.1039982,70.2955083,,,
node,2533291282,,,,,1670.9,40.8150473,70.0214551,,,
node,2285207780,,,,,1666.5,41.6677027,69.6512587,,,
node,2313873823,,,,,1658.5,41.7093525,69.9616339,,,
node,2479721384,,,,,1658.3,41.0710676,69.805542,,,
node,2514908974,,,,,1656.4,41.1388397,70.4319664,,,
node,2601359639,,,,,1656.4,42.8139452,70.0524254,,,
node,2285187803,Borchik,Borchik,Борчик,,1651.1,41.6931405,69.9123659,,,
node,5068976762,,,,,1650.6,40.9968484,70.7023322,,,
node,2544416404,,,,,1647.9,40.9822462,70.1958785,,,
node,349032508,,,,,1646.3,40.6741961,69.6446668,,,
node,10732057513,,,,,1645,42.0702023,69.7380996,,,
node,1420803492,,,,,1644.0,41.0770444,70.0584269,,,
node,2490717063,,,,,1640.3,41.0127249,69.9044764,,,
node,9460467218,,,,,1635,40.2630527,72.35597,,,
node,2513583786,,,,,1633.9,41.0795104,70.1230803,,,
node,1478843268,Музбек,,,,1624,40.3587558,69.5980235,,,
node,11981416523,Кунгуртобе,,,,1620,41.9874275,69.9260205,,,
node,2490716996,Таккау,,Таккау,,1618.8,41.0064172,69.8947215,,,
node,2334306792,,,,,1617.8,41.4491931,69.9742303,,,
node,2540894248,,,,,1612.9,40.9215127,70.2021036,,,
node,2567719457,,,,,1606.0,41.9106205,70.4068733,,,
node,2533450671,Кубай,,Кубай,,1604.8,40.891938,70.0947325,,,
node,2530503629,,,,,1601.5,41.0494781,70.0145324,,,
node,2262651882,,,,,1601.2,41.6620073,69.6317875,,,
node,2572525598,,,,,1594.5,41.8898849,70.3267501,,,
node,2514854757,,,,,1591.7,41.105719,70.3526186,,,
node,2539403193,,,,,1588.4,40.9414334,70.1501309,,,
node,2633500096,,,,,1587.4,40.6957748,69.6844477,,,
node,2537555526,,,,,1587.2,40.8889629,70.1240349,,,
node,2567771086,,,,,1584.7,41.8593168,70.2885013,,,
node,5330760885,,,,,1583.7,40.9413164,70.6019211,,,
node,2520658415,,,,,1581.0,41.0821323,70.1036056,,,
node,2523074467,,,,,1571.4,41.0629979,70.298625,,,
node,1412079807,Kyzylkurgan,Kyzylkurgan,Кызылкурган,,1569.4,41.5196716,69.9394828,,,
node,5055267676,,,,,1564.6,41.0081435,70.7556438,,,
node,2524149669,,,,,1559.8,41.009462,70.2441626,,,
node,1420799350,,,,,1559.4,41.0446898,70.0210924,,,
node,2505535424,,,,,1557.0,41.0007129,70.2086838,,,
node,2539587280,Келенчакташ,,Келенчакташ,,1552.6,40.9112277,70.1415696,,,
node,2330267657,,,,,1545.1,41.3909253,69.9170697,,,
node,2511382509,,,,,1541.7,41.152478,70.3842119,,,
node,2633499990,,,,,1537.0,40.681629,69.7179851,,,
node,2533485877,,,,,1536.2,40.8554551,70.0631394,,,
node,2627111059,,,,,1533.9,40.9892684,69.8817536,,,
node,2676855325,,,,,1533.6,40.6667179,69.7114708,,,
node,2683095371,Куюнды,,Куюнды,,1525.5,40.8529805,69.9784891,,,
node,3546165379,Кара-Кюмюш,,Кара-Кюмюш,,1523.2,42.4857082,71.1415471,,,
node,2562592638,,,,,1521.5,41.7308623,70.0923487,,,
node,2285187806,,,,,1521.0,41.7048811,69.9175356,,,
node,1456514423,Туткара,,Туткара,,1519.2,41.3633005,69.7873965,,,
node,2480890441,,,,,1517.7,41.1588018,69.7744082,,,
